File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
18-000540,05/18/2018,2018,5,2200 Block,E Michigan Avenue,05/18/2018,Weeds/Grass,Voluntarily Complied,05/29/2018,City Staff Reported,false,0,"2200 E Michigan Avenue
Urbana, IL
(40.1018, -88.17942)"
711011,11/14/2007,2007,11,1300 BLOCK,E Laurel Dr,11/15/2007,Weeds/Grass,Owner Abated,11/23/2007,Not Available,false,0,"1300 E Laurel Dr
Urbana, IL
(40.10139, -88.19272)"
20-000642,04/30/2020,2020,4,400 Block,East Florida Avenue,04/30/2020,Weeds/Grass,Voluntarily Complied,05/08/2020,Phone,false,0,"400 East Florida Avenue
Urbana, IL
(40.09834, -88.20343)"
805035,05/13/2008,2008,5,2000 BLOCK,Rainbow View Dr,05/14/2008,Weeds/Grass,Owner Abated,05/22/2008,Not Available,false,0,"2000 Rainbow View Dr
Urbana, IL
(40.10316, -88.18363)"
23-003621,12/08/2023,2023,12,800 Block,North Lincoln Avenue,12/08/2023,Municipal Waste,Voluntarily Complied,12/18/2023,Phone,false,0,"800 North Lincoln Avenue
Urbana, IL
(40.11934, -88.21943)"
19-000362,03/13/2019,2019,3,1300 Block,East Silver Street,,Municipal Waste,City Abated,03/28/2019,City Staff Reported,false,1163,"1300 East Silver Street
Urbana, IL
(40.09149, -88.19285)"
1505041,05/12/2015,2015,5,500 BLOCK,W Green St,05/12/2015,Weeds/Grass,Owner Abated,05/20/2015,Not Available,false,0,"500 W Green St
Urbana, IL
(40.11068, -88.21334)"
18-000517,05/16/2018,2018,5,100 Block,West Florida Avenue,05/16/2018,Weeds/Grass,,10/02/2018,City Staff Reported,false,240.5,"100 West Florida Avenue
Urbana, IL
(40.09831, -88.2073)"
709056,09/19/2007,2007,9,700 BLOCK,S Vine St,09/20/2007,Municipal Waste,Owner Abated,09/28/2007,Not Available,false,0,"700 S Vine St
Urbana, IL
(40.1075, -88.20494)"
606032,06/12/2006,2006,6,900 BLOCK,E Oregon St,,Municipal Waste,Owner Abated,,Not Available,false,0,"900 E Oregon St
Urbana, IL
(40.10773, -88.19775)"
22-000295,02/16/2022,2022,2,100 Block,South Poplar Street,,,Referred to other department,05/10/2022,Internet,true,0,"100 South Poplar Street
Urbana, IL
(40.11283, -88.19451)"
608038,08/10/2006,2006,8,400 BLOCK,S Coler Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"400 S Coler Av
Urbana, IL
(40.10969, -88.21599)"
24-002858,09/10/2024,2024,9,400 Block,South Poplar Street,,,Addressed under different complaint file,09/11/2024,Internet,true,0,"400 South Poplar Street
Urbana, IL
(40.10965, -88.19448)"
22-000357,02/25/2022,2022,2,500 Block,South Anderson Street,02/25/2022,Municipal Waste,Voluntarily Complied,03/07/2022,Email,false,0,"500 South Anderson Street
Urbana, IL
(40.10922, -88.20025)"
905041,05/12/2009,2009,5,1200 BLOCK,W Beslin St,05/13/2009,Weeds/Grass,Owner Abated,05/21/2009,Not Available,false,0,"1200 W Beslin St
Urbana, IL
(40.12029, -88.22429)"
20-001897,09/18/2020,2020,9,600 Block,South Busey Avenue,09/18/2020,Municipal Waste,Voluntarily Complied,09/28/2020,Phone,false,0,"600 South Busey Avenue
Urbana, IL
(40.10814, -88.21769)"
22-001315,05/18/2022,2022,5,1400 Block,East Briarcliff Drive,05/18/2022,Weeds/Grass,Voluntarily Complied,05/26/2022,Phone,false,0,"1400 East Briarcliff Drive
Urbana, IL
(40.10005, -88.19109)"
1705062,05/18/2017,2017,5,1400 BLOCK,E Pennsylvania Av,05/18/2017,Weeds/Grass,Owner Abated,05/26/2017,Not Available,false,0,"1400 E Pennsylvania Av
Urbana, IL
(40.09923, -88.19111)"
310001,10/01/2003,2003,10,500 BLOCK,E Washington,,Weeds/Grass,Owner Abated,,Not Available,false,0,"500 E Washington
Urbana, IL
(40.10566, -88.20225)"
1508065,08/27/2015,2015,8,2100 BLOCK,S Vawter St,08/27/2015,Weeds/Grass,Owner Abated,09/04/2015,Not Available,false,0,"2100 S Vawter St
Urbana, IL
(40.09055, -88.19171)"
22-001340,05/18/2022,2022,5,1900 Block,East Florida Avenue,05/18/2022,Weeds/Grass,Voluntarily Complied,05/26/2022,Phone,false,0,"1900 East Florida Avenue
Urbana, IL
(40.09879, -88.18341)"
23-001131,05/08/2023,2023,5,1 Block,Squire Court,05/08/2023,Weeds/Grass,Voluntarily Complied,05/16/2023,Phone,false,0,"1 Squire Court
Urbana, IL
(40.10266, -88.18537)"
1105100,05/20/2011,2011,5,600 BLOCK,S Cottage Grove Av,05/20/2011,Weeds/Grass,Owner Abated,05/28/2011,Not Available,false,0,"600 S Cottage Grove Av
Urbana, IL
(40.10841, -88.19568)"
1704039,04/27/2017,2017,4,100 BLOCK,Crystal Lake Dr,04/27/2017,Weeds/Grass,Owner Abated,05/05/2017,Not Available,false,0,"100 Crystal Lake Dr
Urbana, IL
(40.11886, -88.20739)"
1608031,08/10/2016,2016,8,100 BLOCK,S Poplar St,08/10/2016,Weeds/Grass,Owner Abated,08/18/2016,Not Available,false,0,"100 S Poplar St
Urbana, IL
(40.11283, -88.19451)"
1009034,09/21/2010,2010,9,800 BLOCK,W Nevada St,09/22/2010,Municipal Waste,Owner Abated,09/30/2010,Not Available,false,0,"800 W Nevada St
Urbana, IL
(40.1065, -88.21784)"
308007,08/05/2003,2003,8,800 BLOCK,W California Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"800 W California Av
Urbana, IL
(40.10828, -88.21787)"
706039,06/12/2007,2007,6,900 BLOCK,N Division St,06/13/2007,Weeds/Grass,Owner Abated,06/21/2007,Not Available,false,0,"900 N Division St
Urbana, IL
(40.12134, -88.20525)"
1103018,03/21/2011,2011,3,400 BLOCK,W Elm St,03/22/2011,Municipal Waste,Owner Abated,03/30/2011,Not Available,false,0,"400 W Elm St
Urbana, IL
(40.11155, -88.21201)"
1309001,09/03/2013,2013,9,1200 BLOCK,N Coler Av,09/04/2013,Municipal Waste,Owner Abated,09/12/2013,Not Available,false,0,"1200 N Coler Av
Urbana, IL
(40.12291, -88.21577)"
509048,09/28/2005,2005,9,2000 BLOCK,S Philo Rd,,Weeds/Grass,City Abated,,Not Available,false,0,"2000 S Philo Rd
Urbana, IL
(40.09372, -88.19065)"
1109037,09/14/2011,2011,9,1100 BLOCK,S Philo Rd,09/14/2011,Weeds/Grass,Owner Abated,09/22/2011,Not Available,false,0,"1100 S Philo Rd
Urbana, IL
(40.10433, -88.19283)"
1505004,05/05/2015,2015,5,1300 BLOCK,E Pennsylvania Av,05/05/2015,Weeds/Grass,Owner Abated,05/13/2015,Not Available,false,0,"1300 E Pennsylvania Av
Urbana, IL
(40.09959, -88.1931)"
22-003573,11/28/2022,2022,11,500 Block,East Elm Street,11/28/2022,Municipal Waste,City Abated,01/10/2023,Phone,false,0,"500 East Elm Street
Urbana, IL
(40.11175, -88.20241)"
1406064,06/26/2014,2014,6,700 BLOCK,E Michigan Av,06/26/2014,Weeds/Grass,Owner Abated,07/04/2014,Not Available,false,0,"700 E Michigan Av
Urbana, IL
(40.10161, -88.19992)"
21-001155,05/27/2021,2021,5,800 Block,West Stoughton Street,05/27/2021,Weeds/Grass,City Abated,09/28/2021,Phone,false,274.5,"800 West Stoughton Street
Urbana, IL
(40.11341, -88.21787)"
1007059,07/27/2010,2010,7,1100 BLOCK,W Hill St,07/28/2010,Weeds/Grass,Owner Abated,08/05/2010,Not Available,false,0,"1100 W Hill St
Urbana, IL
(40.1192, -88.22193)"
1107055,07/28/2011,2011,7,2200 BLOCK,S Race St,07/29/2011,Weeds/Grass,Owner Abated,08/06/2011,Not Available,false,0,"2200 S Race St
Urbana, IL
(40.0886, -88.20945)"
510011,10/05/2005,2005,10,1700 BLOCK,Briarcliff Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1700 Briarcliff Dr
Urbana, IL
(40.09894, -88.18856)"
22-001420,05/24/2022,2022,5,500 Block,East Sunnycrest Court,05/24/2022,Weeds/Grass,Voluntarily Complied,06/01/2022,Phone,false,0,"500 East Sunnycrest Court
Urbana, IL
(40.09748, -88.20192)"
1606024,06/07/2016,2016,6,200 BLOCK,E Crystal Lake Dr,06/07/2016,Weeds/Grass,Owner Abated,06/15/2016,Not Available,false,0,"200 E Crystal Lake Dr
Urbana, IL
(40.11888, -88.20569)"
18-000803,07/25/2018,2018,7,800 Block,E Park Street,07/25/2018,Weeds/Grass,City Abated,10/31/2018,Phone,false,321.5,"800 E Park Street
Urbana, IL
(40.11724, -88.19881)"
508022,08/03/2005,2005,8,1100 BLOCK,E Willard,,Municipal Waste,Owner Abated,,Not Available,false,0,"1100 E Willard
Urbana, IL
(40.08429, -88.19514)"
1605064,05/16/2016,2016,5,1400 BLOCK,S Lincolnwood Dr,05/16/2016,Weeds/Grass,Owner Abated,05/24/2016,Not Available,false,0,"1400 S Lincolnwood Dr
Urbana, IL
(40.10158, -88.18558)"
1003012,03/16/2010,2010,3,1200 BLOCK,N Goodwin Av,03/17/2010,Municipal Waste,City Abated,03/25/2010,Not Available,false,0,"1200 N Goodwin Av
Urbana, IL
(40.12327, -88.22417)"
1010024,10/11/2010,2010,10,1900 BLOCK,S Kathryn St,10/12/2010,Weeds/Grass,Owner Abated,10/20/2010,Not Available,false,0,"1900 S Kathryn St
Urbana, IL
(40.0942, -88.18189)"
805046,05/14/2008,2008,5,1200 BLOCK,W Beslin St,05/15/2008,Weeds/Grass,Owner Abated,05/23/2008,Not Available,false,0,"1200 W Beslin St
Urbana, IL
(40.12029, -88.22429)"
1209044,09/18/2012,2012,9,1100 BLOCK,W Pennsylvania Av,09/18/2012,Municipal Waste,Owner Abated,09/26/2012,Not Available,false,0,"1100 W Pennsylvania Av
Urbana, IL
(40.10063, -88.22303)"
19-001653,08/06/2019,2019,8,1000 Block,North Busey Avenue,,Municipal Waste,Unfounded,08/06/2019,Phone,false,0,"1000 North Busey Avenue
Urbana, IL
(40.12128, -88.21697)"
410030,10/26/2004,2004,10,1100 BLOCK,E Willard St,,Municipal Waste,City Abated,,Not Available,false,0,"1100 E Willard St
Urbana, IL
(40.08429, -88.19514)"
1201003,01/05/2012,2012,1,1300 BLOCK,E Silver St,01/06/2012,Municipal Waste,City Abated,01/14/2012,Not Available,false,0,"1300 E Silver St
Urbana, IL
(40.09149, -88.19285)"
510016,10/10/2005,2005,10,1200 BLOCK,E Green St,,Municipal Waste,Invalid,,Not Available,false,0,"1200 E Green St
Urbana, IL
(40.11095, -88.19431)"
18-036545,12/18/2018,2018,12,1700 Block,East Hunter Street,,Municipal Waste,Voluntarily Complied,12/26/2018,Phone,false,0,"1700 East Hunter Street
Urbana, IL
(40.10383, -88.18641)"
22-002851,09/01/2022,2022,9,400 Block,West Elm Street,09/01/2022,Municipal Waste,Voluntarily Complied,09/12/2022,Phone,false,0,"400 West Elm Street
Urbana, IL
(40.11155, -88.21201)"
20-000357,03/05/2020,2020,3,1000 Block,North Coler Avenue,03/05/2020,Municipal Waste,Voluntarily Complied,03/13/2020,Email,false,0,"1000 North Coler Avenue
Urbana, IL
(40.12105, -88.21572)"
22-001856,06/10/2022,2022,6,900 Block,North Harvey Street,06/10/2022,Weeds/Grass,Voluntarily Complied,10/04/2022,Phone,false,0,"900 North Harvey Street
Urbana, IL
(40.12019, -88.222)"
612027,12/20/2006,2006,12,1200 BLOCK,W Eads St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1200 W Eads St
Urbana, IL
(40.12313, -88.22435)"
22-000936,04/28/2022,2022,4,1200 Block,"South ""Cottage Grove"" Avenue",04/28/2022,Municipal Waste,Voluntarily Complied,05/06/2022,Phone,false,0,"1200 South Cottage Grove Avenue
Urbana, IL
(40.10304, -88.1956)"
402031,02/24/2004,2004,2,200 BLOCK,N McCullough,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 N McCullough
Urbana, IL
(40.11356, -88.21267)"
1308029,08/23/2013,2013,8,100 BLOCK,N McCullough St,08/23/2013,Weeds/Grass,Owner Abated,08/31/2013,Not Available,false,0,"100 N McCullough St
Urbana, IL
(40.11245, -88.21318)"
407054,07/19/2004,2004,7,700 BLOCK,W Ohio St,,Municipal Waste,Invalid,,Not Available,false,0,"700 W Ohio St
Urbana, IL
(40.10371, -88.21712)"
19-000842,05/10/2019,2019,5,100 Block,North Lynn Street,05/10/2019,Weeds/Grass,Voluntarily Complied,05/20/2019,Phone,false,0,"100 North Lynn Street
Urbana, IL
(40.11312, -88.19784)"
18-000982,09/11/2018,2018,9,1300 Block,East Silver Street,,Weeds/Grass,City Abated,10/31/2018,City Staff Reported,false,138.5,"1300 East Silver Street
Urbana, IL
(40.09149, -88.19285)"
24-001331,05/12/2024,2024,5,600 Block,West Washington Street,,,Addressed under different complaint file,05/13/2024,Internet,true,0,"600 West Washington Street
Urbana, IL
(40.10555, -88.21458)"
1704045,04/28/2017,2017,4,100 BLOCK,E George Huff Dr,04/28/2017,Weeds/Grass,Owner Abated,05/06/2017,Not Available,false,0,"100 E George Huff Dr
Urbana, IL
(40.09094, -88.20686)"
19-001239,06/19/2019,2019,6,900 Block,North Linview Avenue,06/19/2019,Municipal Waste,Voluntarily Complied,07/29/2019,Phone,false,0,"900 North Linview Avenue
Urbana, IL
(40.12022, -88.21814)"
310041,10/28/2003,2003,10,200 BLOCK,S Hartle Dr,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 S Hartle Dr
Urbana, IL
(40.11115, -88.19218)"
23-000605,03/16/2023,2023,3,1400 Block,East Michigan Avenue,03/16/2023,Municipal Waste,Voluntarily Complied,03/24/2023,Phone,false,0,"1400 East Michigan Avenue
Urbana, IL
(40.10166, -88.19104)"
1305116,05/16/2013,2013,5,400 BLOCK,W California Av,05/16/2013,Weeds/Grass,Owner Abated,05/24/2013,Not Available,false,0,"400 W California Av
Urbana, IL
(40.10836, -88.21188)"
23-002031,07/12/2023,2023,7,900 Block,East Delaware Avenue,,,Unfounded,07/13/2023,Internet,true,0,"900 East Delaware Avenue
Urbana, IL
(40.09919, -88.1977)"
609001,09/01/2006,2006,9,200 BLOCK,S Poplar St,,Municipal Waste,Owner Abated,,Not Available,false,0,"200 S Poplar St
Urbana, IL
(40.11128, -88.19449)"
705045,05/10/2007,2007,5,1200 BLOCK,W Ellis St,05/10/2007,Weeds/Grass,Owner Abated,05/18/2007,Not Available,false,0,"1200 W Ellis St
Urbana, IL
(40.12405, -88.22434)"
309073,09/26/2003,2003,9,1500 BLOCK,S Smith Rd,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1500 S Smith Rd
Urbana, IL
(40.09996, -88.17604)"
24-001726,06/10/2024,2024,6,1400 Block,East Stout Drive,06/10/2024,Weeds/Grass,Voluntarily Complied,06/18/2024,Phone,false,0,"1400 East Stout Drive
Urbana, IL
(40.11058, -88.19195)"
19-001637,08/05/2019,2019,8,700 Block,East Colorado Avenue,08/05/2019,Municipal Waste,City Abated,09/10/2019,Internet,false,633,"700 East Colorado Avenue
Urbana, IL
(40.09471, -88.19844)"
1707040,07/31/2017,2017,7,2300 BLOCK,N Cunningham Av,07/31/2017,Municipal Waste,Owner Abated,08/08/2017,Not Available,false,0,"2300 N Cunningham Av
Urbana, IL
(40.13553, -88.19449)"
19-000203,02/12/2019,2019,2,100 Block,South Lynn Street,02/12/2019,Municipal Waste,Voluntarily Complied,02/14/2019,City Staff Reported,false,0,"100 South Lynn Street
Urbana, IL
(40.11284, -88.19784)"
305024,05/06/2003,2003,5,300 BLOCK,W Oregon St,,Municipal Waste,Owner Abated,,Not Available,false,0,"300 W Oregon St
Urbana, IL
(40.10758, -88.21047)"
807019,07/17/2008,2008,7,1000 BLOCK,W Fairview Av,07/18/2008,Weeds/Grass,Owner Abated,07/26/2008,Not Available,false,0,"1000 W Fairview Av
Urbana, IL
(40.12005, -88.22126)"
903025,03/09/2009,2009,3,1600 BLOCK,Ivanhoe Way,03/10/2009,Municipal Waste,City Abated,03/18/2009,Not Available,false,0,"1600 Ivanhoe Way
Urbana, IL
(40.10221, -88.18862)"
406056,06/24/2004,2004,6,2200 BLOCK,E Washington,,Weeds/Grass,City Abated,,Not Available,false,0,"2200 E Washington
Urbana, IL
(40.10571, -88.17951)"
506051,06/13/2005,2005,6,500 BLOCK,S Cottage Grove,,Weeds/Grass,Owner Abated,,Not Available,false,0,"500 S Cottage Grove
Urbana, IL
(40.10929, -88.19334)"
409075,09/29/2004,2004,9,400 BLOCK,W California Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"400 W California Av
Urbana, IL
(40.10836, -88.21188)"
22-002953,09/13/2022,2022,9,1700 Block,South Philo Road,09/13/2022,Weeds/Grass,City Abated,12/01/2022,Phone,false,310.5,"1700 South Philo Road
Urbana, IL
(40.09827, -88.1907)"
1502010,02/04/2015,2015,2,1900 BLOCK,S Philo Rd,02/04/2015,Snow Removal,City Abated,02/05/2015,Not Available,false,0,"1900 S Philo Rd
Urbana, IL
(40.09426, -88.19066)"
506018,06/07/2005,2005,6,1300 BLOCK,S Vine St,,Municipal Waste,Owner Abated,,Not Available,false,0,"1300 S Vine St
Urbana, IL
(40.102, -88.20496)"
1305169,05/30/2013,2013,5,1500 BLOCK,S Cottage Grove Av,05/30/2013,Weeds/Grass,Owner Abated,06/07/2013,Not Available,false,0,"1500 S Cottage Grove Av
Urbana, IL
(40.0999, -88.19555)"
610013,10/12/2006,2006,10,1100 BLOCK,N Goodwin Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1100 N Goodwin Av
Urbana, IL
(40.12231, -88.22416)"
19-002540,12/12/2019,2019,12,700 Block,West High Street,12/12/2019,Municipal Waste,Voluntarily Complied,12/20/2019,Phone,false,0,"700 West High Street
Urbana, IL
(40.10983, -88.21617)"
20-001080,06/18/2020,2020,6,1200 Block,North Linview Avenue,06/18/2020,Weeds/Grass,Voluntarily Complied,06/26/2020,Phone,false,0,"1200 North Linview Avenue
Urbana, IL
(40.12346, -88.21818)"
1105043,05/10/2011,2011,5,500 BLOCK,W California Av,05/11/2011,Weeds/Grass,Owner Abated,05/19/2011,Not Available,false,0,"500 W California Av
Urbana, IL
(40.10835, -88.21332)"
705112,05/30/2007,2007,5,500 BLOCK,W Green St,05/31/2007,Weeds/Grass,Owner Abated,06/08/2007,Not Available,false,0,"500 W Green St
Urbana, IL
(40.11068, -88.21334)"
1010006,10/06/2010,2010,10,1300 BLOCK,E Green St,10/07/2010,Municipal Waste,Owner Abated,10/15/2010,Not Available,false,0,"1300 E Green St
Urbana, IL
(40.11096, -88.1932)"
1005114,05/25/2010,2010,5,1200 BLOCK,S Anderson Dr,05/26/2010,Weeds/Grass,Owner Abated,06/03/2010,Not Available,false,0,"1200 S Anderson Dr
Urbana, IL
(40.10289, -88.20013)"
801003,01/07/2008,2008,1,1400 BLOCK,S Adams St,01/08/2008,Municipal Waste,City Abated,01/16/2008,Not Available,false,0,"1400 S Adams St
Urbana, IL
(40.09948, -88.18815)"
21-002693,11/15/2021,2021,11,400 Block,East Holmes Street,11/15/2021,Weeds/Grass,Voluntarily Complied,11/23/2021,Phone,false,0,"400 East Holmes Street
Urbana, IL
(40.08878, -88.20188)"
906033,06/15/2009,2009,6,2000 BLOCK,S Burlison Dr,06/15/2009,Weeds/Grass,Owner Abated,06/23/2009,Not Available,false,0,"2000 S Burlison Dr
Urbana, IL
(40.094, -88.20827)"
21-000900,05/06/2021,2021,5,200 Block,West Oregon Street,05/06/2021,Weeds/Grass,Voluntarily Complied,05/14/2021,Phone,false,0,"200 West Oregon Street
Urbana, IL
(40.10761, -88.20901)"
23-001500,05/23/2023,2023,5,1400 Block,East Stout Drive,05/23/2023,Weeds/Grass,Voluntarily Complied,07/10/2023,Phone,false,0,"1400 East Stout Drive
Urbana, IL
(40.11058, -88.19195)"
23-003061,10/11/2023,2023,10,1100 Block,South Austin Drive,10/11/2023,Municipal Waste,Voluntarily Complied,10/19/2023,Phone,false,0,"1100 South Austin Drive
Urbana, IL
(40.10368, -88.18752)"
509025,09/12/2005,2005,9,600 BLOCK,E California Av,,Weeds/Grass,Owner Abated,,Not Available,false,0,"600 E California Av
Urbana, IL
(40.10853, -88.20114)"
407068,07/21/2004,2004,7,1600 BLOCK,S Orchard,,Weeds/Grass,Owner Abated,,Not Available,false,0,"1600 S Orchard
Urbana, IL
(40.09893, -88.21434)"
710048,10/15/2007,2007,10,600 BLOCK,S Cottage Grove Av,10/16/2007,Weeds/Grass,Owner Abated,10/24/2007,Not Available,false,0,"600 S Cottage Grove Av
Urbana, IL
(40.10841, -88.19568)"
1605077,05/17/2016,2016,5,1900 BLOCK,E Galena St,05/17/2016,Weeds/Grass,City Abated,05/25/2016,Not Available,false,0,"1900 E Galena St
Urbana, IL
(40.08142, -88.18359)"
1406018,06/05/2014,2014,6,1100 BLOCK,S Lanore Dr,06/05/2014,Weeds/Grass,Owner Abated,06/13/2014,Not Available,false,0,"1100 S Lanore Dr
Urbana, IL
(40.10369, -88.18659)"
18-000957,09/05/2018,2018,9,1000 Block,"South ""Cottage Grove"" Avenue",,Weeds/Grass,Voluntarily Complied,09/13/2018,Phone,false,0,"1000 South Cottage Grove Avenue
Urbana, IL
(40.10447, -88.19563)"
508072,08/17/2005,2005,8,400 BLOCK,W High St,,Municipal Waste,Owner Abated,,Not Available,false,0,"400 W High St
Urbana, IL
(40.10989, -88.21193)"
23-002807,09/19/2023,2023,9,1500 Block,East Fairlawn Drive,09/19/2023,Municipal Waste,Voluntarily Complied,09/27/2023,Phone,false,0,"1500 East Fairlawn Drive
Urbana, IL
(40.10234, -88.19064)"
21-000504,03/09/2021,2021,3,700 Block,East University Avenue,03/09/2021,Municipal Waste,Voluntarily Complied,03/17/2021,Phone,false,0,"700 East University Avenue
Urbana, IL
(40.11632, -88.20039)"
807052,07/29/2008,2008,7,600 BLOCK,W Illinois St,07/30/2008,Weeds/Grass,Owner Abated,08/07/2008,Not Available,false,0,"600 W Illinois St
Urbana, IL
(40.10915, -88.21469)"
303065,03/31/2003,2003,3,200 BLOCK,W Oregon St,,Municipal Waste,City Abated,,Not Available,false,0,"200 W Oregon St
Urbana, IL
(40.10761, -88.20901)"
18-000760,07/16/2018,2018,7,600 Block,E Washington Street,07/16/2018,Municipal Waste,Voluntarily Complied,07/24/2018,Phone,false,0,"600 E Washington Street
Urbana, IL
(40.10566, -88.20108)"
1007006,07/01/2010,2010,7,100 BLOCK,W University Av,07/06/2010,Weeds/Grass,Owner Abated,07/14/2010,Not Available,false,0,"100 W University Av
Urbana, IL
(40.11643, -88.20768)"
607010,07/11/2006,2006,7,500 BLOCK,W Elm St,,Weeds/Grass,Owner Abated,,Not Available,false,0,"500 W Elm St
Urbana, IL
(40.11153, -88.21336)"
19-002254,10/21/2019,2019,10,1000 Block,South Rainbow View,10/21/2019,Weeds/Grass,Voluntarily Complied,11/06/2019,Phone,false,0,"1000 South Rainbow View
Urbana, IL
(40.10483, -88.18472)"
19-001528,07/23/2019,2019,7,1200 Block,East Silver Street,07/23/2019,Municipal Waste,City Abated,09/10/2019,Phone,false,0,"1200 East Silver Street
Urbana, IL
(40.09149, -88.1933)"
24-001802,06/14/2024,2024,6,1100 Block,East Eastern Drive,06/14/2024,Weeds/Grass,Voluntarily Complied,07/01/2024,Phone,false,0,"1100 East Eastern Drive
Urbana, IL
(40.10431, -88.19545)"
24-001024,04/22/2024,2024,4,1200 Block,East Main Street,04/22/2024,Weeds/Grass,Void,04/30/2024,Phone,false,0,"1200 East Main Street
Urbana, IL
(40.11297, -88.19433)"
19-000693,04/29/2019,2019,4,1500 Block,South Ogelthorpe Avenue,04/30/2019,Weeds/Grass,City Abated,06/03/2019,City Staff Reported,false,721.5,"1500 South Ogelthorpe Avenue
Urbana, IL
(40.09996, -88.1749)"
23-002363,08/15/2023,2023,8,500 Block,West Springfield Avenue,08/15/2023,Municipal Waste,Voluntarily Complied,08/23/2023,Phone,false,0,"500 West Springfield Avenue
Urbana, IL
(40.11231, -88.21339)"
24-002186,07/17/2024,2024,7,300 Block,South Poplar Street,07/17/2024,Weeds/Grass,City Abated,09/24/2024,Phone,false,255,"300 South Poplar Street
Urbana, IL
(40.11081, -88.19449)"
510036,10/19/2005,2005,10,200 BLOCK,Hartle Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,"200 Hartle Dr
Urbana, IL
(40.11115, -88.19218)"
